UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITE,Relationship,Date,Location Precision 
ae1c09e6-1661-4caa-96d1-eecb0b8d7298,Jupiter Optimus Maximus,char-offset:156805,PERSON,,,,,,"3,57",,449 B.C.,
b19e390f-7489-463e-832e-71de8736f0cd,K. Duillius,char-offset:94308,PERSON,,,,,,"3,36",,450 B.C.,
0f208849-cb23-427b-a662-fd88ea2456fd,Kaeso Duillius,char-offset:112842,PERSON,,,,,,"3,40",,450 B.C.,
7d83480a-3464-4847-89b4-49b110dede13,L. Aebutius,char-offset:14723,PERSON,,,,,,"3,6",,463 B.C.,
27cde488-387d-49ca-9a50-5e41c8ed2425,L. Alienus,char-offset:84052,PERSON,,,,,,"3,32",,456-454 B.C.,
eace301c-b5cf-4a0a-a634-9c073caab7f0,L. Cornelius,char-offset:64963,PERSON,,,,,,"3,21",,460 B.C.,
1e53059b-0d9c-46c8-a4f6-fa78fb3ba163,L. Cornelius,char-offset:110888,PERSON,,,,,,"3,39",,450 B.C.,
5f8ef631-1b14-4e61-a819-4e7f2918b425,L. Cornelius Maluginensis,char-offset:60422,PERSON,,,,,,"3,19",,460 B.C.,
c958b2d7-9054-4bfa-93e5-fa8839b9af6f,L. Cornelius Maluginensis,char-offset:107919,PERSON,,,,,,"3,38",,450 B.C.,
d2b604de-8b9a-4bc0-93e6-ee8569a26e86,L. Icilius,char-offset:117240,PERSON,,,,,,"3,43",,450 B.C.,
30ee35c6-f49b-4031-a3c9-bee1a164637f,L. Icilius,char-offset:146832,PERSON,,,,,,"3,52",,450 B.C.,
314bc850-2656-4a37-ac31-0a1d77ddfdaf,L. Icilius,char-offset:147422,PERSON,,,,,,"3,54",,450 B.C.,
b53cc4da-58bf-48e3-9363-c14661c37170,L. Icilius,char-offset:173489,PERSON,,,,,,"3,63",,449 B.C.,
df72f7e8-5718-4af2-9b27-93fe1620b9fc,L. Lucretius,char-offset:34290,PERSON,,,,,,"3,13",,461 B.C.,
5655007d-d429-4cf6-8eb0-a00d4232bc01,L. Lucretius,char-offset:65431,PERSON,,,,,,"3,21",,460 B.C.,
f54bd024-f60c-4afe-a077-a483fcbf144e,L. Lucretius Tricipitinus,char-offset:20309,PERSON,,,,,,"3,10",,461 B.C.,
78d3c574-5b51-4263-8c4c-a09e4b275d14,L. Mamilius,char-offset:48260,PERSON,,,,,,"3,16",,460 B.C.,
4ecb0a6b-d9e7-46cf-a04e-49444a59b2f5,L. Mamilius,char-offset:53764,PERSON,,,,,,"3,18",,460 B.C.,
27ad4b71-8fa0-44f9-bea7-079186461002,L. Mamilius,char-offset:79477,PERSON,,,,,,"3,27",,458 B.C.,
7ec8151a-135f-40b7-a274-bbd553b5e5d8,L. Minucius,char-offset:67734,PERSON,,,,,,"3,22",,459 B.C.,
fc0a2e92-a46c-4f16-9844-19e8448bf83b,L. Minucius,char-offset:78383,PERSON,,,,,,"3,27",,458 B.C.,
